word,indicator,1990,1991,1992
▲과실에,빈도,,1,
▲군무이탈초병,빈도,,1,
▲상관,빈도,,1,
▲초령위반군무,빈도,,1,
▲초소침범무단이탈군내,빈도,,1,
▲항명상관지시,빈도,,1,
▼부산지역,빈도,,1,
▼지난,빈도,,1,
▼프랑스,빈도,,1,
◎명은,빈도,,1,
◎불명예제대외엔,빈도,,1,
가운데,빈도,4,,12
가정,빈도,,,15
가족,빈도,,5,31
가치,빈도,,,12
각종,빈도,,1,
간통죄,빈도,4,,
감염,빈도,12,5,
감염률,빈도,,1,
감염자,빈도,8,3,
개정안,빈도,,2,
건달,빈도,4,,
검사,빈도,9,,
게이,빈도,,,24
격리,빈도,,1,
결과,빈도,5,2,
경우,빈도,4,,50
경험,빈도,4,,
과거,빈도,5,,
과정,빈도,4,,
관계,빈도,,,16
관련,빈도,,,12
관리,빈도,4,,
교수,빈도,,,21
국내,빈도,8,3,
국민,빈도,,,13
국방부,빈도,,2,
군용물,빈도,,2,
군형법,빈도,,2,
규정,빈도,,,12
그것,빈도,,,13
그녀,빈도,5,,
근무,빈도,,2,
낙태,빈도,,,18
남성,빈도,5,,
남자,빈도,5,,12
내용,빈도,,2,13
단체,빈도,,,15
대상,빈도,10,,
대중,빈도,4,,
동성애,빈도,16,7,26
동성연애,빈도,7,,16
동성연애자,빈도,18,2,17
동안,빈도,,2,
드라마,빈도,,,36
등장,빈도,4,,
때문,빈도,5,,17
마돈나,빈도,,,15
마약,빈도,8,,
명령,빈도,,4,
모씨,빈도,,2,
모욕,빈도,,2,
문제,빈도,9,,38
문학,빈도,,,17
문화,빈도,,,30
미국,빈도,11,,17
발견,빈도,,2,
방송,빈도,,,38
범죄,빈도,,2,
보사,빈도,4,2,
복무기간,빈도,,2,
부족,빈도,4,,
불륜,빈도,,2,
사람,빈도,5,,25
사랑,빈도,,,21
사실,빈도,9,3,
사용,빈도,6,,
사회,빈도,8,,46
생각,빈도,4,,
생활,빈도,4,,
성적,빈도,,,15
소련,빈도,10,,
시청자,빈도,,,23
시행,빈도,,2,
실효,빈도,,2,
아일랜드,빈도,4,,
에이즈,빈도,,5,34
여성,빈도,9,,21
외국,빈도,5,,
우리,빈도,7,,28
우리나라,빈도,5,,
위반,빈도,,2,
이상,빈도,9,,
이탈,빈도,,2,
인간,빈도,5,,13
인기,빈도,8,,
자신,빈도,,,21
자유,빈도,,,25
작가,빈도,,,19
작품,빈도,,,36
장면,빈도,,,18
전과기록,빈도,,2,
전당대회,빈도,,,15
전파,빈도,6,,
접촉,빈도,,2,
정치,빈도,,,14
제출,빈도,,2,
조사,빈도,6,,
지난해,빈도,5,,
처벌,빈도,,2,
콘돔,빈도,5,,
클린턴,빈도,,,32
텔리비전,빈도,,,31
통보,빈도,,2,
표현,빈도,,,37
프로그램,빈도,,,13
항체,빈도,6,,
해외,빈도,6,,
허용,빈도,,,15
현실,빈도,,,18
현역,빈도,,2,
형량,빈도,,2,
호모,빈도,,,18
확산,빈도,7,,
회사,빈도,,2,
