"","vectordata","Freq","year","rank"
"1","동성연애자",18,1990,50
"2","동성애",16,1990,49
"3","감염",12,1990,48
"4","미국",11,1990,47
"5","대상",10,1990,45.5
"6","소련",10,1990,45.5
"7","검사",9,1990,42
"8","문제",9,1990,42
"9","사실",9,1990,42
"10","여성",9,1990,42
"11","이상",9,1990,42
"12","감염자",8,1990,37
"13","국내",8,1990,37
"14","마약",8,1990,37
"15","사회",8,1990,37
"16","인기",8,1990,37
"17","동성연애",7,1990,33
"18","우리",7,1990,33
"19","확산",7,1990,33
"20","사용",6,1990,29
"21","전파",6,1990,29
"22","조사",6,1990,29
"23","항체",6,1990,29
"24","해외",6,1990,29
"25","결과",5,1990,20.5
"26","과거",5,1990,20.5
"27","그녀",5,1990,20.5
"28","남성",5,1990,20.5
"29","남자",5,1990,20.5
"30","때문",5,1990,20.5
"31","사람",5,1990,20.5
"32","외국",5,1990,20.5
"33","우리나라",5,1990,20.5
"34","인간",5,1990,20.5
"35","지난해",5,1990,20.5
"36","콘돔",5,1990,20.5
"37","가운데",4,1990,7.5
"38","간통죄",4,1990,7.5
"39","건달",4,1990,7.5
"40","경우",4,1990,7.5
"41","경험",4,1990,7.5
"42","과정",4,1990,7.5
"43","관리",4,1990,7.5
"44","대중",4,1990,7.5
"45","등장",4,1990,7.5
"46","보사",4,1990,7.5
"47","부족",4,1990,7.5
"48","생각",4,1990,7.5
"49","생활",4,1990,7.5
"50","아일랜드",4,1990,7.5
"51","동성애",7,1991,50
"52","가족",5,1991,48
"53","감염",5,1991,48
"54","에이즈",5,1991,48
"55","명령",4,1991,46
"56","감염자",3,1991,44
"57","국내",3,1991,44
"58","사실",3,1991,44
"59","개정안",2,1991,28.5
"60","결과",2,1991,28.5
"61","국방부",2,1991,28.5
"62","군용물",2,1991,28.5
"63","군형법",2,1991,28.5
"64","근무",2,1991,28.5
"65","내용",2,1991,28.5
"66","동성연애자",2,1991,28.5
"67","동안",2,1991,28.5
"68","모씨",2,1991,28.5
"69","모욕",2,1991,28.5
"70","발견",2,1991,28.5
"71","범죄",2,1991,28.5
"72","보사",2,1991,28.5
"73","복무기간",2,1991,28.5
"74","불륜",2,1991,28.5
"75","시행",2,1991,28.5
"76","실효",2,1991,28.5
"77","위반",2,1991,28.5
"78","이탈",2,1991,28.5
"79","전과기록",2,1991,28.5
"80","접촉",2,1991,28.5
"81","제출",2,1991,28.5
"82","처벌",2,1991,28.5
"83","통보",2,1991,28.5
"84","현역",2,1991,28.5
"85","형량",2,1991,28.5
"86","회사",2,1991,28.5
"87","▲과실에",1,1991,7.5
"88","▲군무이탈초병",1,1991,7.5
"89","▲상관",1,1991,7.5
"90","▲초령위반군무",1,1991,7.5
"91","▲초소침범무단이탈군내",1,1991,7.5
"92","▲항명상관지시",1,1991,7.5
"93","▼부산지역",1,1991,7.5
"94","▼지난",1,1991,7.5
"95","▼프랑스",1,1991,7.5
"96","◎명은",1,1991,7.5
"97","◎불명예제대외엔",1,1991,7.5
"98","각종",1,1991,7.5
"99","감염률",1,1991,7.5
"100","격리",1,1991,7.5
"101","경우",50,1992,50
"102","사회",46,1992,49
"103","문제",38,1992,47.5
"104","방송",38,1992,47.5
"105","표현",37,1992,46
"106","드라마",36,1992,44.5
"107","작품",36,1992,44.5
"108","에이즈",34,1992,43
"109","클린턴",32,1992,42
"110","가족",31,1992,40.5
"111","텔리비전",31,1992,40.5
"112","문화",30,1992,39
"113","우리",28,1992,38
"114","동성애",26,1992,37
"115","사람",25,1992,35.5
"116","자유",25,1992,35.5
"117","게이",24,1992,34
"118","시청자",23,1992,33
"119","교수",21,1992,30.5
"120","사랑",21,1992,30.5
"121","여성",21,1992,30.5
"122","자신",21,1992,30.5
"123","작가",19,1992,28
"124","낙태",18,1992,25.5
"125","장면",18,1992,25.5
"126","현실",18,1992,25.5
"127","호모",18,1992,25.5
"128","동성연애자",17,1992,21.5
"129","때문",17,1992,21.5
"130","문학",17,1992,21.5
"131","미국",17,1992,21.5
"132","관계",16,1992,18.5
"133","동성연애",16,1992,18.5
"134","가정",15,1992,14.5
"135","단체",15,1992,14.5
"136","마돈나",15,1992,14.5
"137","성적",15,1992,14.5
"138","전당대회",15,1992,14.5
"139","허용",15,1992,14.5
"140","정치",14,1992,11
"141","국민",13,1992,8
"142","그것",13,1992,8
"143","내용",13,1992,8
"144","인간",13,1992,8
"145","프로그램",13,1992,8
"146","가운데",12,1992,3
"147","가치",12,1992,3
"148","관련",12,1992,3
"149","규정",12,1992,3
"150","남자",12,1992,3
